flink_line,suite,invocation_id,test_class,test_name,display_name,plan_index,root_index,fully_accelerated,label,category,note,source_url
2.2,runtime,7f70e7a5-c823-47ea-89b1-0a60e24f4cd5,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[286]","[286] [API as SQL] floor(f2, MILLISECOND)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,3ccb1ac2-274d-4146-be07-ca269df31fbb,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[287]",[287] [SQL] FLOOR(f2 TO MILLISECOND),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,18fb4a07-982a-435a-9764-45ade239b89a,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[288]","[288] [API] floor(f0, SECOND)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,8c2fb010-8815-4d27-8feb-85a5eb59b233,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[289]","[289] [API as SQL] floor(f0, SECOND)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,6f4b2cf2-bb01-4d07-bb36-7a5a993dfc1f,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[28]",[28] [SQL] EXTRACT(MILLISECOND FROM f1),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,11de2cd1-4ce3-4ae0-9f85-3425dfb02563,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[290]",[290] [SQL] FLOOR(f0 TO SECOND),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,71b9945d-93c9-474b-8cfc-632ed0006239,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[291]","[291] [API] floor(f1, SECOND)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,b8fd395c-784f-490c-a42b-76be770fbafd,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[292]","[292] [API as SQL] floor(f1, SECOND)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,908b0282-b5a1-4fc9-8613-d71e402efebb,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[293]",[293] [SQL] FLOOR(f1 TO SECOND),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,2a990e40-1d52-4718-9678-e64e939e9fd1,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[294]","[294] [API] floor(f2, SECOND)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,638a9fa9-8cb7-4eb6-ba96-af5643e7abe3,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[295]","[295] [API as SQL] floor(f2, SECOND)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,83030810-a091-40fe-9ea6-f5913be24ddc,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[296]",[296] [SQL] FLOOR(f2 TO SECOND),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,400e597b-5d9d-4fef-a57b-14bf9b9ab6ed,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[297]","[297] [API] floor(f0, MINUTE)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,5e60f23f-118d-490f-91c1-662894586b62,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[298]","[298] [API as SQL] floor(f0, MINUTE)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,7f95bfe6-3918-4627-859a-19e6737cfbe1,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[299]",[299] [SQL] FLOOR(f0 TO MINUTE),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,79af2058-6b07-46dd-8811-1150edb8d34b,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[29]","[29] [API] extract(MILLISECOND, f2)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,57c4ee58-d2db-47be-a3f7-cb48225d88b0,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[2]","[2] [API as SQL] extract(NANOSECOND, f0)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,6685e74d-aad8-44bb-bd23-2a8e000b6563,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[300]","[300] [API] floor(f1, MINUTE)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
