flink_line,suite,test_class,test_name,display_name,outcome,label,sql_label,category,features,note,invocation_id,junit_id,report,case_index,native_plans,host_plans,native_components,junit_source,junit_status,revision,source_url
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testIdleReader(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[1]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=2}], Semantic: [EXACTLY_ONCE]",passed,not accelerated,not accelerated,non-sql-program,,Exercises format I/O through a DataStream or legacy DataSet program; bypasses the SQL planner and its native admission path.,341c5c62-92e5-440a-904a-8f483ed03136,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testIdleReader(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#1]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,8,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testIdleReader', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",SUCCESSFUL,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testIdleReader(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[2]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=1}], Semantic: [EXACTLY_ONCE]",passed,not accelerated,not accelerated,non-sql-program,,Exercises format I/O through a DataStream or legacy DataSet program; bypasses the SQL planner and its native admission path.,f8397d39-d14a-4ac0-96a2-a35c1c73c2a0,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testIdleReader(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#2]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,9,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testIdleReader', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",SUCCESSFUL,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testMultipleSplits(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[1]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=2}], Semantic: [EXACTLY_ONCE]",passed,not accelerated,not accelerated,non-sql-program,,Exercises format I/O through a DataStream or legacy DataSet program; bypasses the SQL planner and its native admission path.,f2a319aa-9373-4eda-909d-2dcb3ccb6133,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testMultipleSplits(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#1]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,4,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testMultipleSplits', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",SUCCESSFUL,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testMultipleSplits(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[2]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=1}], Semantic: [EXACTLY_ONCE]",passed,not accelerated,not accelerated,non-sql-program,,Exercises format I/O through a DataStream or legacy DataSet program; bypasses the SQL planner and its native admission path.,3d50812b-bb18-4064-a271-23e13c2feb81,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testMultipleSplits(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#2]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,5,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testMultipleSplits', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",SUCCESSFUL,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testSavepoint(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[1]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=2}], Semantic: [EXACTLY_ONCE]",skipped,not accelerated,not accelerated,upstream-skip,,Upstream skipped this invocation; no execution.,ef723bd4-83cc-4dbe-b39f-e3f1db0b7dab,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testSavepoint(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#1]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,6,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testSavepoint', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",ABORTED,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testSavepoint(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[2]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=1}], Semantic: [EXACTLY_ONCE]",skipped,not accelerated,not accelerated,upstream-skip,,Upstream skipped this invocation; no execution.,de0cab3f-2b0b-41b8-a12b-4d038f94636f,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testSavepoint(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#2]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,7,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testSavepoint', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",ABORTED,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testScaleDown(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[1]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=2}], Semantic: [EXACTLY_ONCE]",skipped,not accelerated,not accelerated,upstream-skip,,Upstream skipped this invocation; no execution.,c0b449ff-9ed2-4425-8ff7-423b5c34bf4b,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testScaleDown(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#1]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,2,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testScaleDown', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",ABORTED,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testScaleDown(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[2]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=1}], Semantic: [EXACTLY_ONCE]",skipped,not accelerated,not accelerated,upstream-skip,,Upstream skipped this invocation; no execution.,cbaddb0e-8e54-45f4-9300-f2451a208efc,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testScaleDown(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#2]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,3,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testScaleDown', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",ABORTED,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testScaleUp(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[1]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=2}], Semantic: [EXACTLY_ONCE]",skipped,not accelerated,not accelerated,upstream-skip,,Upstream skipped this invocation; no execution.,2f02eef6-3447-4b91-8d3a-c8f8b196fbd1,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testScaleUp(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#1]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,12,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testScaleUp', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",ABORTED,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
1.18,formats,org.apache.flink.formats.avro.AvroBulkFormatITCase,"testScaleUp(TestEnvironment, DataStreamSourceExternalContext, CheckpointingMode)[2]","TestEnvironment: [MiniCluster], ExternalContext: [AvroBulkFormatExternalContext{blocksPerFile=1}], Semantic: [EXACTLY_ONCE]",skipped,not accelerated,not accelerated,upstream-skip,,Upstream skipped this invocation; no execution.,5808d203-cd58-4735-9db5-e1b649878135,"[engine:junit-jupiter]/[class:org.apache.flink.formats.avro.AvroBulkFormatITCase]/[test-template:testScaleUp(org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode)]/[test-template-invocation:#2]",flink-avro/target/surefire-reports/TEST-org.apache.flink.formats.avro.AvroBulkFormatITCase.xml,13,0,0,,"Optional[MethodSource [className = 'org.apache.flink.formats.avro.AvroBulkFormatITCase', methodName = 'testScaleUp', methodParameterTypes = 'org.apache.flink.connector.testframe.environment.TestEnvironment, org.apache.flink.connector.testframe.external.source.DataStreamSourceExternalContext, org.apache.flink.streaming.api.CheckpointingMode']]",ABORTED,baed8451b6fbb7c358b7cd068ab387a4e198d9cb,https://github.com/apache/flink/blob/release-1.18.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroBulkFormatITCase.java
