flink_line,suite,invocation_id,test_class,test_name,display_name,plan_index,root_index,fully_accelerated,label,category,note,source_url
1.18,runtime,4806b458-d0a3-4c09-ae0e-c18b08eeaa43,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[206],"[206] [API] ARRAY_JOIN(f3, '+', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,dbf72076-a2ec-474a-beee-8f20b182c663,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[207],"[207] [SQL] ARRAY_JOIN(f3, '+', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,c34248b7-c328-4bf8-8a66-92679f53c61c,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[208],"[208] [API] ARRAY_JOIN(f3, '+', ' ')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,46b4509a-6fd8-4009-bdaa-79713bc6eec2,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[209],"[209] [SQL] ARRAY_JOIN(f3, '+', ' ')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,dfe43716-f6ec-49f1-9616-68393176bb4d,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[20],"[20] [SQL] ARRAY_CONTAINS(f5, CAST(NULL AS INT))",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,bfd73681-be2c-47e1-9eb8-e564d1d695eb,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[210],"[210] [API] ARRAY_JOIN(f3, '', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,ed7f0a74-0ae5-4370-83f4-b4b9f3fb5111,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[211],"[211] [SQL] ARRAY_JOIN(f3, '', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,798c5db8-4bde-46ce-9867-1b431ac03413,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[212],"[212] [API] ARRAY_JOIN(f3, '', ' ')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,ee52ba1a-f58b-4bc8-b87c-a096ffbfa930,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[213],"[213] [SQL] ARRAY_JOIN(f3, '', ' ')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,a481e754-eb3f-4dad-815f-7211490a2706,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[214],"[214] [API] ARRAY_JOIN(f3, ' ', ' ')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
